អាហ្វ្រិក	非洲
ទំព័រគំរូ:Citation/core	Template:Citation/core
ទំព័រគំរូ:Cat improve	Template:Catimprove
ទំព័រគំរូ:Expert-subject	Template:需要专家关注
ចំណាត់ថ្នាក់ក្រុម:ប្រទេសជាកោះ	Category:岛国
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ភាសា/family-color	Template:Infobox Language/family-color
ទំព័រគំរូ:Wontfix	Template:Won't fix
ចំណាត់ថ្នាក់ក្រុម:Tracking categories	Category:追蹤分類
ទំព័រគំរូ:Grey	Template:灰
ទំព័រគំរូ:User la-2	Template:User la-2
ទំព័រគំរូ:User ru-1	Template:User ru-1
ចំណាត់ថ្នាក់ក្រុម:អាំងតេក្រាល	Category:积分表
ទំព័រគំរូ:User tr-1	Template:User tr-1
ទំព័រគំរូ:User zh-1	Template:User zh-1
ទំព័រគំរូ:User zh-2	Template:User zh-2
ទំព័រគំរូ:User zh-3	Template:User zh-3
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូ	Category:各國物理學家
ទំព័រគំរូ:User zh-4	Template:User zh-4
ចំណាត់ថ្នាក់ក្រុម:គមនាគមន៍នៅប្រទេសជប៉ុន	Category:日本交通
ចំណាត់ថ្នាក់ក្រុម:ប្រទេសហ្សំប៊ី	Category:赞比亚
ទំព័រគំរូ:ទិន្នន័យប្រទេស យូហ៊្គោស្លាវី	Template:Country data SFR Yugoslavia
ទំព័រគំរូ:Calm talk	Template:Calm talk
ទំព័រគំរូ:Multi-listen end	Template:Multi-listen end
ចំណាត់ថ្នាក់ក្រុម:ការអប់រំនៅប្រទេសជប៉ុន	Category:日本教育
ចំណាត់ថ្នាក់ក្រុម:Disambiguation and redirection templates	Category:消歧義模板
ការពិភាក្សារបស់អ្នកប្រើប្រាស់:វ័ណថារិទ្ធ/រូបភាពប្រចាំថ្ងៃ	Wikipedia:每日图片
ទំព័រគំរូ:Tlrow	Template:Tlrow
ចំណាត់ថ្នាក់ក្រុម:User ja-0	Category:Ja-0 使用者
ចំណាត់ថ្នាក់ក្រុម:User nl	Category:Nl 使用者
ទំព័រគំរូ:Unbulleted list	Template:Unbulleted list
ចំណាត់ថ្នាក់ក្រុម:User zh-1	Category:Zh-1 使用者
ចំណាត់ថ្នាក់ក្រុម:User zh-4	Category:Zh-4 使用者
ចំណាត់ថ្នាក់ក្រុម:User zh-3	Category:Zh-3 使用者
ចំណាត់ថ្នាក់ក្រុម:User zh-2	Category:Zh-2 使用者
ចំណាត់ថ្នាក់ក្រុម:មេកានិច	Category:力學
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូអាល្លឺម៉ង់	Category:德国物理学家
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូអ៊ីតាលី	Category:意大利物理学家
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូបារាំង	Category:法國物理學家
ចំណាត់ថ្នាក់ក្រុម:សេវាសាធារណៈ	Category:公共服務
ចំណាត់ថ្នាក់ក្រុម:អិចស្ប៉ូណង់ស្យែល	Category:指数
ទំព័រគំរូ:Tnavbar-header	Template:Tnavbar-header
ចំណាត់ថ្នាក់ក្រុម:ព្រឹត្តិការណ៍កីឡាចំរុះ	Category:运动会
ចំណាត់ថ្នាក់ក្រុម:គណិតវិទូអាល្លឺម៉ង់	Category:德国数学家
ទំព័រគំរូ:User wikipedia/autopatrolled	Template:User wikipedia/Autoreviewer
ទំព័រគំរូ:ទិន្នន័យប្រទេស វៀតណាមខាងជើង	Template:Country data North Vietnam
ចំណាត់ថ្នាក់ក្រុម:ចំនួនគត់រឺឡាទីប	Category:整数
ទំព័រគំរូ:V	Template:V
ចំណាត់ថ្នាក់ក្រុម:ស៊ីហ្គេម	Category:东南亚运动会
ចំណាត់ថ្នាក់ក្រុម:ត្រីកោណមាត្រ	Category:三角学
ចំណាត់ថ្នាក់ក្រុម:ទ្រឹស្តីបទ	Category:定理
ចំណាត់ថ្នាក់ក្រុម:ទ្រឹស្តីបទគណិតវិទ្យា	Category:数学定理
ចំណាត់ថ្នាក់ក្រុម:អាកាសយានដ្ឋាន	Category:機場
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូអាមេរិក	Category:美国物理学家
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូអង់គ្លេស	Category:英格蘭物理學家
ចំណាត់ថ្នាក់ក្រុម:នាយករដ្ឋមន្ត្រីសិង្ហបុរី	Category:新加坡總理
ចំណាត់ថ្នាក់ក្រុម:រង្វាន់ណូបែល	Category:诺贝尔奖
ទំព័រគំរូ:User pfl-1	Template:User pfl-1
ចំណាត់ថ្នាក់ក្រុម:Wikipedia shortcut box first parameter needs fixing	Category:需要修正維基百科捷徑框參數的頁面
ចំណាត់ថ្នាក់ក្រុម:ប្រទេសកម្ពុជា	Category:柬埔寨
ចំណាត់ថ្នាក់ក្រុម:អ្នកនយោបាយប៉ាគីស្ថាន	Category:巴基斯坦政治人物
ទំព័រគំរូ:Lang-hy	Template:Lang-hy
ចំណាត់ថ្នាក់ក្រុម:អ្នកនយោបាយខ្មែរ	Category:柬埔寨政治人物
ចំណាត់ថ្នាក់ក្រុម:អ្នករុករកជនជាតិបារាំង	Category:法国探险家
ចំណាត់ថ្នាក់ក្រុម:ស្រីលង្កា	Category:斯里蘭卡
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូ រង្វាន់ណូបែល	Category:诺贝尔奖模板
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូឈ្មោះភាសា	Category:多语言支援模板
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូក្នុងរូបវិទ្យា	Category:物理学模板
ទំព័រគំរូ:ISO 639 name	Template:ISO 639 name
ទំព័រគំរូ:FeaturedPicture	Template:Featured picture
ទំព័រគំរូ:Ed	Template:Ed
ទំព័រគំរូ:ទិន្នន័យប្រទេស Wales	Template:Country data Wales
ចំណាត់ថ្នាក់ក្រុម:អុនសេន	Category:溫泉
ចំណាត់ថ្នាក់ក្រុម:ពហុធា	Category:多項式
ចំណាត់ថ្នាក់ក្រុម:ពិជគណិតថ្នាក់ដំបូង	Category:初等代数
ចំណាត់ថ្នាក់ក្រុម:អនុគមន៍	Category:函数
ចំណាត់ថ្នាក់ក្រុម:ភាសាជប៉ុន	Category:日语
ចំណាត់ថ្នាក់ក្រុម:មធ្យម	Category:平均数
ចំណាត់ថ្នាក់ក្រុម:ចតុកោណ	Category:四邊形
ចំណាត់ថ្នាក់ក្រុម:ត្រីកោណ	Category:三角形
ចំណាត់ថ្នាក់ក្រុម:សំភារៈ​សំណង់	Category:建筑材料
ទំព័រគំរូ:S-off	Template:S-off
ចំណាត់ថ្នាក់ក្រុម:សមីការ	Category:方程
ចំណាត់ថ្នាក់ក្រុម:ស្ពាននៅប្រទេសជប៉ុន	Category:日本橋樑
ចំណាត់ថ្នាក់ក្រុម:សិទ្ធិ	Category:權利
ចំណាត់ថ្នាក់ក្រុម:User pfl-1	Category:Pfl-1 使用者
ទំព័រគំរូ:Hexadecimal	Template:Hexadecimal
ទំព័រគំរូ:Raise	Template:Raise
ទំព័រគំរូ:S-end	Template:Rail end
ចំណាត់ថ្នាក់ក្រុម:វិភាគគណិតវិទ្យា	Category:数学分析
ទំព័រគំរូ:Stub documentation	Template:Stub documentation
ចំណាត់ថ្នាក់ក្រុម:វិសមភាព	Category:不等式
ចំណាត់ថ្នាក់ក្រុម:ឧទ្យានជាតិ	Category:國家公園
ចំណាត់ថ្នាក់ក្រុម:កោះស៊ូម៉ាត្រា	Category:蘇門答臘
ចំណាត់ថ្នាក់ក្រុម:មីក្រូសេដ្ឋកិច្ច	Category:微观经济学
ចំណាត់ថ្នាក់ក្រុម:HTML	Category:HTML
ចំណាត់ថ្នាក់ក្រុម:អាស៊ីហ្គេម	Category:亚洲运动会
ចំណាត់ថ្នាក់ក្រុម:អេឡិចត្រូស្តាទិច	Category:静电学
ចំណាត់ថ្នាក់ក្រុម:អ៊ីសាក់ ញូតុន	Category:艾萨克·牛顿
ចំណាត់ថ្នាក់ក្រុម:អាកាសចរណ៍	Category:交通
ចំណាត់ថ្នាក់ក្រុម:គណិតវិទ្យាថ្នាក់ដំបូង	Category:初等数学
ចំណាត់ថ្នាក់ក្រុម:ទ្រឹស្តីបទលេខ	Category:数论
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ភាសា	Template:Infobox Language
ទំព័រគំរូ:អត្ថបទខ្លី អំពីកូរ៉េខាងត្បូង	Template:South Korea-stub
ទំព័រគំរូ:Wikiversity	Template:Wikiversity
ទំព័រគំរូ:Statistics	Template:統計學
ចំណាត់ថ្នាក់ក្រុម:ភាសាអ៊ីតាលី	Category:意大利语
ចំណាត់ថ្នាក់ក្រុម:ភាសាអេស្ប៉ាញ	Category:西班牙语
ចំណាត់ថ្នាក់ក្រុម:រថក្រោះ	Category:坦克
ទំព័រគំរូ:Usbktop	Template:Usbktop
ទំព័រគំរូ:Usbk	Template:Usbk
ទំព័រគំរូ:Lists by country	Template:各国列表
ទំព័រគំរូ:Infobox polygon	Template:Infobox polygon
ចំណាត់ថ្នាក់ក្រុម:កោះរបស់ឥណ្ឌូនេស៊ី	Category:印尼岛屿
ទំព័រគំរូ:Update after	Template:Update after
ទំព័រគំរូ:WPBannerMeta	Template:WPBannerMeta
ទំព័រគំរូ:Cross	Template:Cross
ខេត្តលង់ហោរ	永隆省
ទំព័រគំរូ:Navbox hatnote templates	Template:Hatnote templates
ចំណាត់ថ្នាក់ក្រុម:ភ្នំពេញ	Category:金邊
ទំព័រគំរូ:CountryAbbr	Template:CountryAbbr
ទំព័រគំរូ:Split	Template:Split
ទំព័រគំរូ:រូបវិទ្យា	Template:Physics-footer
ចំណាត់ថ្នាក់ក្រុម:ធរណីមាត្រអ៊ីពែបូលីក	Category:雙曲幾何
វិគីភីឌា:ឯកសារកម្មទំព័រគំរូ	Wikipedia:模板文件頁模式
ទំព័រគំរូ:CompactTOC8	Template:CompactTOC
ទំព័រគំរូ:Template sandbox notice	Template:Template sandbox notice
ទំព័រគំរូ:Dmbox	Template:Dmbox
ទំព័រគំរូ:Hydrogen compounds	Template:氢化合物
ទំព័រគំរូ:Tnavbar-navframe	Template:Tnavbar-navframe
ទំព័រគំរូ:Image frame	Template:Image frame
ទំព័រគំរូ:Ti	Template:Ti
ទំព័រគំរូ:Latin Union	Template:拉丁语联盟
ទំព័រគំរូ:Information page	Template:Infopage
ទំព័រគំរូ:Sec link	Template:Sec link
តូក្យូ	东京
ចំណាត់ថ្នាក់ក្រុម:ម៉ាញ៉េតូស្តាទិច	Category:靜磁學
ចំណាត់ថ្នាក់ក្រុម:ក្រលាផ្ទៃ	Category:面积
ទំព័រគំរូ:Pp-move	Template:Pp-move
ទំព័រគំរូ:WPFCevent	Template:WPFCevent
ទំព័រគំរូ:Infobox broadcasting network	Template:電視網資訊
ចំណាត់ថ្នាក់ក្រុម:លោការីត	Category:对数
ទំព័រគំរូ:JD	Template:JD
ទំព័រគំរូ:CURRENTMINUTE	Template:CURRENTMINUTE
ទំព័រគំរូ:Substituted	Template:Substituted
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសអ៊ូបេគីស្ថាន	Template:UZB
ទំព័រគំរូ:OnHold	Template:OnHold
ទំព័រគំរូ:Question	Template:疑問
បញ្ជីរាយនាម ជ័យលាភីរង្វាន់ណូបែល ផ្នែកគីមីវិទ្យា	诺贝尔化学奖得主列表
ទំព័រគំរូ:ខេត្ត-រាជធានីកម្ពុជា	Template:Cambodia
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអេស្ប៉ាញ	Template:Country data Spain
ទំព័រគំរូ:Usage of IPA templates	Template:Usage of IPA templates
ទំព័រគំរូ:Pad	Template:Pad
ទំព័រគំរូ:If pagename	Template:If pagename
ទំព័រគំរូ:ទិន្នន័យប្រទេស កាណាដា	Template:Country data Canada
ទំព័រគំរូ:Class	Template:Class
ទំព័រគំរូ:Class mask	Template:Class mask
ទំព័រគំរូ:Collapsible sections option	Template:Collapsible sections option
ទំព័រគំរូ:Column-rule	Template:Column-rule
ទំព័រគំរូ:Connected contributor	Template:Notable Wikipedian
ទំព័រគំរូ:Consensus	Template:Consensus
ទំព័រគំរូ:Conservation status	Template:保护现状
ទំព័រគំរូ:Convert/BTU	Template:Convert/BTU
ទំព័រគំរូ:Convert/C-change	Template:Convert/C-change
ទំព័រគំរូ:Convert/Dual/LoffAoffDxSoffT	Template:Convert/Dual/LoffAoffDxSoffT
ទំព័រគំរូ:Convert/LoffAoffDorSoff	Template:Convert/LoffAoffDorSoff
ទំព័រគំរូ:Convert/list of units	Template:Convert/list of units
ទំព័រគំរូ:Convert/list of units/item2	Template:Convert/list of units/item2
ទំព័រគំរូ:Convert/list of units/foot note	Template:Convert/list of units/foot note
ទំព័រគំរូ:Convert/list of units/facdisp	Template:Convert/list of units/facdisp
ទំព័រគំរូ:Convert/list of units/itemnontable2	Template:Convert/list of units/itemnontable2
ទំព័រគំរូ:Convert/list of units/length/SI	Template:Convert/list of units/length/SI
ទំព័រគំរូ:Convert/list of units/length/metric	Template:Convert/list of units/length/metric
ទំព័រគំរូ:Convert/list of units/rowNa	Template:Convert/list of units/rowNa
ទំព័រគំរូ:Convert/list of units/row	Template:Convert/list of units/row
ទំព័រគំរូ:Convert/list of units/rowbraltab	Template:Convert/list of units/rowbraltab
ទំព័រគំរូ:Convert/list of units/rowbr	Template:Convert/list of units/rowbr
ទំព័រគំរូ:Convert/nm	Template:Convert/nm
ទំព័រគំរូ:Convert/numdisp/frac1	Template:Convert/numdisp/frac1
ទំព័រគំរូ:Cookbook	Template:Cookbook
ទំព័រគំរូ:CopyrightedFreeUseProvided	Template:CopyrightedFreeUseProvided
ទំព័រគំរូ:Flag	Template:Flag
ទំព័រគំរូ:Intellectual property	Template:知识产权
ទំព័រគំរូ:ទិន្នន័យប្រទេស ម៉ាល់ឌីវ	Template:Country data Maldives
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសសិង្ហបុរី	Template:Country data Singapore
ទំព័រគំរូ:ទិន្នន័យប្រទេស យេម៉ែន	Template:Country data Yemen
ទំព័រគំរូ:Lang-pl	Template:Lang-pl
ទំព័រគំរូ:Country flag IOC alias USA	Template:Country flag IOC alias USA
ទំព័រគំរូ:DANFS	Template:DANFS
ទំព័រគំរូ:Unreliable sources	Template:Unreliable sources
ទំព័រគំរូ:Diff	Template:Diff
ទំព័រគំរូ:ប្រវត្តិសាស្ត្រវៀតណាម	Template:越南歷史
ចំណាត់ថ្នាក់ក្រុម:Protection templates	Category:保護模板
ចំណាត់ថ្នាក់ក្រុម:ភាសាអង់គ្លេស	Category:英语
ទំព័រគំរូ:FOSS	Template:FOSS
ទំព័រគំរូ:Scientists whose names are used as SI units	Template:以人名命名的国际单位制单位
ទំព័រគំរូ:OCA	Template:OCA
ទំព័រគំរូ:G8	Template:G8
ទំព័រគំរូ:WikiProject Biography	Template:WikiProject Biography
ទំព័រគំរូ:សំលៀកបំពាក់	Template:服裝
ទំព័រគំរូ:Fapages	Template:Fapages
ទំព័រគំរូ:Countries and regions of the Caucasus	Template:高加索国家和地区
ទំព័រគំរូ:Guideline list	Template:指引列表
ទំព័រគំរូ:Technology	Template:技术
ទំព័រគំរូ:Diatomicelements	Template:Diatomicelements
ទំព័រគំរូ:Nature nav	Template:自然的组成
ទំព័រគំរូ:Style	Template:Style
ទំព័រគំរូ:Time Persons of the Year 2001–2025	Template:Time Persons of the Year 2001–2025
ទំព័រគំរូ:Natural sciences-footer	Template:Natural sciences-footer
ទំព័រគំរូ:Help navigation	Template:维基帮助导航
ទំព័រគំរូ:ឋានន្តរសក្ដិរាជវង្សនិងអភិជន	Template:貴族等級
ទំព័រគំរូ:BranchesofChemistry	Template:化学分支
ទំព័រគំរូ:Burmese script	Template:Burmese characters
ទំព័រគំរូ:User Alternate Acct	Template:User alternate acct
ទំព័រគំរូ:Infobox country Olympics	Template:Infobox Country Olympics
ទំព័រគំរូ:ប្រអប់យុទ្ធនាការ សង្គ្រាមវៀតណាម	Template:Campaignbox 越南戰爭
ទំព័រគំរូ:ជ័យលាភីរង្វាន់ណូបែល ផ្នែកគីមីវិទ្យា ឆ្នាំ ១៩០១-១៩២៥	Template:诺贝尔化学奖获得者 (1901年－1925年)
ទំព័រគំរូ:Microeconomics	Template:微觀經濟學
ទំព័រគំរូ:User vi-2	Template:User vi-2
ទំព័រគំរូ:User vi-1	Template:User vi-1
ទំព័រគំរូ:User zh-min-nan-4	Template:User nan-4
ទំព័រគំរូ:User zh-min-nan-2	Template:User nan-2
ទំព័រគំរូ:User id-2	Template:User id-2
ទំព័រគំរូ:UF-hcard-geo	Template:UF-hcard-geo
ទំព័រគំរូ:Template shortcut	Template:Template shortcut
ទំព័រគំរូ:OMIM2	Template:OMIM2
ទំព័រគំរូ:Location map Scotland relief 2	Template:Location map Scotland relief 2
ទំព័រគំរូ:Likely	Template:Likely
ទំព័រគំរូ:Lang-th	Template:Lang-th
ទំព័រគំរូ:Lang-sq	Template:Lang-sq
ទំព័រគំរូ:Lang-pi	Template:Lang-pi
ទំព័រគំរូ:Lang-pa	Template:Lang-pa
ទំព័រគំរូ:Lang-es	Template:Lang-es
ទំព័រគំរូ:Lang-ca	Template:Lang-ca
ទំព័រគំរូ:Lang-bo	Template:Lang-bo
ទំព័រគំរូ:Lang-az	Template:Lang-az
ទំព័រគំរូ:Km icon	Template:Km icon
ទំព័រគំរូ:ISO 639 name eo	Template:ISO 639 name eo
ទំព័រគំរូ:ISO 3166	Template:ISO 3166
ទំព័រគំរូ:DiseasesDB2	Template:DiseasesDB2
ទំព័រគំរូ:Country flag IOC alias CAM	Template:Country flag IOC alias CAM
ទំព័រគំរូ:Mammal-stub	Template:Mammal-stub
ចំណាត់ថ្នាក់ក្រុម:នាមត្រូលជនជាតិជប៉ុន	Category:日本姓氏
ចំណាត់ថ្នាក់ក្រុម:ពិជគណិត	Category:代数
ចំណាត់ថ្នាក់ក្រុម:មុំ	Category:角
ចំណាត់ថ្នាក់ក្រុម:នព្វន្ធ	Category:算术
ចំណាត់ថ្នាក់ក្រុម:User ko-0	Category:Ko-0 使用者
Module:Citation	模块:Citation
ចំណាត់ថ្នាក់ក្រុម:ស្ពាននៅអាស៊ី	Category:亚洲桥梁
ចំណាត់ថ្នាក់ក្រុម:អត្ថបទខ្លីមិនពេញលេញ អំពីព្រះពុទ្ធសាសនា	Category:佛教小作品
ទំព័រគំរូ:Multicol	Template:Multicol
ចំណាត់ថ្នាក់ក្រុម:អាស៊ីខាងកើត	Category:東亞
ចំណាត់ថ្នាក់ក្រុម:អេឡិចត្រូម៉ាញ៉េទិច	Category:电磁学
ទំព័រគំរូ:Lang-mn	Template:Lang-mn
ទំព័រគំរូ:Lang-sa	Template:Lang-sa
ទំព័រគំរូ:Lang-sv	Template:Lang-sv
វិគីភីឌា:វិគីគម្រោងប្រវត្តិសាស្ត្រ	Wikipedia:历史专题
វិគីភីឌា:វិគីគម្រោង សាកលវិទ្យាល័យ	Wikipedia:大学专题
ទំព័រគំរូ:Precision/tz	Template:Precision/tz
ទំព័រគំរូ:Precision/tz/1	Template:Precision/tz/1
ទំព័រគំរូ:Lts	Template:Lts
ចំណាត់ថ្នាក់ក្រុម:បណ្ណាល័យ	Category:圖書館
ចំណាត់ថ្នាក់ក្រុម:មេរថក្រោះសមរភូមិ	Category:主戰坦克
ជំនួយ:មាតិកា/សេចក្តីផ្តើម	Help:目录/从这里开始
វិគីភីឌា:IPA for Thai and Lao	Wikipedia:泰语与老挝语国际音标
វិគីភីឌា:Link color	Help:链接颜色
ចំណាត់ថ្នាក់ក្រុម:យន្តហោះយោធាគ្រូបណ្តុះបណ្តាល	Category:軍用教練機
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូ សិទ្ធិ	Category:權利模板
ទំព័រគំរូ:Tech-stub	Template:Tech-stub
ចំណាត់ថ្នាក់ក្រុម:Navigational boxes without horizontal lists	Category:没有使用水平列表的导航框
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសម៉ុងហ្គោល	Template:MNG
ទំព័រគំរូ:Pronunciation	Template:Pronunciation
ទំព័រគំរូ:Non-free newspaper image	Template:Non-free newspaper image
ចំណាត់ថ្នាក់ក្រុម:ចំនួនកុំផ្លិច	Category:複數
ចំណាត់ថ្នាក់ក្រុម:Subtemplates of Template Convert	Category:Convert子模板
ចំណាត់ថ្នាក់ក្រុម:User pfl	Category:Pfl 使用者
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូTOC	Category:目錄模板
ទំព័រគំរូ:Image label begin	Template:Image label begin
ចំណាត់ថ្នាក់ក្រុម:រង្វង់និងស៊្វែរ	Category:圆
ទំព័រគំរូ:Bg icon	Template:Bg icon
វិគីភីឌា:Requests	Wikipedia:請求
ចំណាត់ថ្នាក់ក្រុម:កងកម្លាំងអាកាស	Category:空軍
ចំណាត់ថ្នាក់ក្រុម:សាកលវិទ្យាល័យនៅប្រទេសជប៉ុន	Category:日本的大學
វិគីភីឌា:សារ ទំព័រគំរូ/បោសសំអាត	Wikipedia:模板消息/清理
ទំព័រគំរូ:Resources for collaboration	Template:用于维护与合作的资源
វិគីភីឌា:Community portal/Opentask	Wikipedia:社群首页/活跃任务
វិគីភីឌា:សារ ទំព័រគំរូ/Redirect pages	Wikipedia:模板消息/重定向頁面
ចំណាត់ថ្នាក់ក្រុម:User es-0	Category:Es-0 使用者
ចំណាត់ថ្នាក់ក្រុម:User km-0	Category:Km-0 使用者
ចំណាត់ថ្នាក់ក្រុម:វប្បធម៌ខ្មែរ	Category:柬埔寨文化
ទំព័រគំរូ:Infobox language/IPA notice	Template:Infobox Language/IPA notice
ទំព័រគំរូ:Ombox/core	Template:Ombox/core
ទំព័រគំរូ:US$	Template:US$
ទំព័រគំរូ:Geodis	Template:Geodis
ចំណាត់ថ្នាក់ក្រុម:User en-1	Category:En-1 使用者
ចំណាត់ថ្នាក់ក្រុម:Calendar templates	Category:日历模板
ចំណាត់ថ្នាក់ក្រុម:User de-1	Category:De-1 使用者
ចំណាត់ថ្នាក់ក្រុម:Wikipedia protected templates	Category:被保護的模板
ទំព័រគំរូ:Asbox	Template:Asbox
ទំព័រគំរូ:Nowrap begin	Template:Nowrap begin
ទំព័រគំរូ:Marriage	Template:Marriage
ទំព័រគំរូ:Pre	Template:Pre
ទំព័រគំរូ:ខ្មែរក្រហម	Template:红色高棉
ទំព័រគំរូ:ខ្លីមិនពេញលេញ ព្រះពុទ្ធសាសនា	Template:Buddhism-stub
ទំព័រគំរូ:Chaturanga diagram	Template:Chaturanga diagram
ទំព័រគំរូ:សេរីភាព	Template:Freedom
ទំព័រគំរូ:ែដលកំពុងរឺកចំេរីន	Template:Underconstruction
ទំព័រគំរូ:Not English	Template:NotMandarin
ទំព័រគំរូ:Thank you	Template:Thank you
ទំព័រគំរូ:រដ្ឋ និងទឹកដីក្នុងមណ្ឌលឥទ្ធិពលជប៉ុនចក្រពត្តិកំឡុងសង្គ្រាមលោកលើកទី២	Template:大东亚共荣圈
ទំព័រគំរូ:Isdoing	Template:Isdoing
ទំព័រគំរូ:Convert/AU	Template:Convert/AU
ទំព័រគំរូ:សង្គ្រាមត្រជាក់	Template:Cold War
ទំព័រគំរូ:Infobox laboratory	Template:Infobox Laboratory
ទំព័រគំរូ:ព្រះត្រៃបិដក	Template:PaliCanon
ទំព័រគំរូ:Pipe	Template:Pipe
វិគីភីឌា:WikiProject Council/Guide	Wikipedia:专题委员会/专题指引
វិគីភីឌា:WikiProject Council/Directory	Wikipedia:专题委员会/专题名录
វិគីភីឌា:Tutorial/Keep in mind	Wikipedia:新手入門/方針指引
ទំព័រគំរូ:Very large	Template:Very large
ទំព័រគំរូ:Organisation of Islamic Cooperation	Template:伊斯蘭會議組織
ចំណាត់ថ្នាក់ក្រុម:កោះជ្វា	Category:爪哇島
ទំព័រគំរូ:Wiktionarylang	Template:Wiktionarylang
ទំព័រគំរូ:Frac	Template:Frac
ទំព័រគំរូ:Ntsh	Template:Ntsh
វិគីភីឌា:គម្រោងវិគីជាបងប្អូន	Wikipedia:姊妹计划
សាកលវិទ្យាល័យ​ត្រាវិញ	茶荣大学
ទំព័រគំរូ:Start date	Template:Start date
ទំព័រគំរូ:MediaWiki	Template:MediaWiki
វិគីភីឌា:Contributing to Wikipedia	Wikipedia:參與貢獻
ទំព័រគំរូ:Law	Template:法律
ចំណាត់ថ្នាក់ក្រុម:ការធ្វើសេចក្ដីរាយការណ៏ពត៌មាន	報告
ទំព័រគំរូ:International organizations	Template:國際組織
ទំព័រគំរូ:Mbox templates see also	Template:Mbox templates see also
ទំព័រគំរូ:WW2InfoBox	Template:WW2InfoBox
ទំព័រគំរូ:SMS	Template:Sms
ទំព័រគំរូ:Religious text primary	Template:Religious text primary
ទំព័រគំរូ:Tablabonita	Template:Tablabonita
ទំព័រគំរូ:Unknown	Template:Unk
ទំព័រគំរូ:User zh-min-nan-3	Template:User nan-3
ទំព័រគំរូ:Free	Template:Free
ទំព័រគំរូ:Bio-stub	Template:Bio-stub
ទំព័រគំរូ:សហភាពឥណ្ឌូចិន	Template:法属印度支那
ទំព័រគំរូ:ចលនាឯករាជ្យវៀតណាម	Template:越南獨立運動
វិគីភីឌា:Ribbons	Wikipedia:维基绶带
ទំព័រគំរូ:Begin flag row	Template:Begin flag row
ទំព័រគំរូ:ប្រវត្តិសាស្ត្រភូមា	Template:緬甸歷史
ទំព័រគំរូ:Lang-my-name-MLCTS	Template:My
ទំព័រគំរូ:Table-experimental	Template:Table-experimental
ទំព័រគំរូ:User km-1	Template:User km-1
ទំព័រគំរូ:Psychoanalysis	Template:精神分析学
ទំព័រគំរូ:Tim	Template:Tim
ទំព័រគំរូ:Other category header templates	Template:Other category-header templates
ទំព័រគំរូ:Elementbox isotopes decay	Template:Infobox element/isotopes decay
ទំព័រគំរូ:End flag row	Template:End flag row
ទំព័រគំរូ:End flag gallery	Template:End flag gallery
ទំព័រគំរូ:ប្រវត្តិសាស្ត្រលាវ	Template:老撾歷史
ទំព័រគំរូ:Incorrect	Template:Incorrect
ទំព័រគំរូ:Last edited by	Template:LastEditedBy
ទំព័រគំរូ:ប្រវត្តិសាស្ត្រខ្មែរ	Template:柬埔寨历史
ទំព័រគំរូ:WikiProject Footer	Template:WikiProject Footer
ទំព័រគំរូ:Tetl	Template:Tetl
វិគីភីឌា:អំពី ប្រអប់ខ្សាច់	Wikipedia:关于沙盒
វិគីភីឌា:Tutorial/Wrap-up and more info	Wikipedia:新手入門/總結
វិគីភីឌា:សារ ទំព័រគំរូ/Disputes	Wikipedia:模板消息/爭議與警告
វិគីភីឌា:Service awards	Wikipedia:維基榮譽與獎勵
វិគីភីឌា:Kindness Campaign	Wikipedia:友善計畫
ទំព័រគំរូ:ព្រះពុទ្ធសាសនាថេរវាទ	Template:TheravadaBuddhism
វិគីភីឌា:ពានរង្វាន់	Wikipedia:維基獎勵
ទំព័រគំរូ:Possible	Template:Possible
ទំព័រគំរូ:Normalwraplink	Template:Normalwraplink
ទំព័រគំរូ:Magnify icon	Template:Magnify icon
ទំព័រគំរូ:Specialpageslist	Template:Specialpageslist
វិគីភីឌា:Hatnotes	Wikipedia:頂註
ទំព័រគំរូ:National flags	Template:Nationalflags
ទំព័រគំរូ:Loc	Template:Loc
ទំព័រគំរូ:Overlinked	Template:Overlinked
ទំព័រគំរូ:Gov-stub	Template:Government-stub
ទំព័រគំរូ:Subject bar	Template:Subject bar
ទំព័រគំរូ:N.b.	Template:N.b.
ទំព័រគំរូ:Big	Template:Larger
ទំព័រគំរូ:Month3	Template:Month3
ទំព័រគំរូ:Infobox file format	Template:Infobox file format
