Африк	非洲
Ангилал:Хойд Солонгосын олимпийн медальтнууд	Category:朝鮮奧林匹克運動會獎牌得主
Ангилал:Оросын олимпийн медальтнууд	Category:俄羅斯奧林匹克運動會獎牌得主
Ангилал:Австрийн олимпийн мөнгөн медальтнууд	Category:奧地利奧林匹克運動會銀牌得主
Ангилал:Бразилын олимпийн мөнгөн медальтнууд	Category:巴西奧林匹克運動會銀牌得主
Ангилал:Колумбын олимпийн мөнгөн медальтнууд	Category:哥倫比亞奧林匹克運動會銀牌得主
Ангилал:Кубын олимпийн мөнгөн медальтнууд	Category:古巴奧林匹克運動會銀牌得主
Ангилал:Зүүн Германы олимпийн мөнгөн медальтнууд	Category:東德奧林匹克運動會銀牌得主
Ангилал:Этиопын олимпийн мөнгөн медальтнууд	Category:埃塞俄比亞奧林匹克運動會銀牌得主
Ангилал:Финландын олимпийн мөнгөн медальтнууд	Category:芬蘭奧林匹克運動會銀牌得主
Ангилал:Францын олимпийн мөнгөн медальтнууд	Category:法國奧林匹克運動會銀牌得主
Ангилал:Германы олимпийн мөнгөн медальтнууд	Category:德國奧林匹克運動會銀牌得主
Ангилал:Индонезийн олимпийн мөнгөн медальтнууд	Category:印尼奧林匹克運動會銀牌得主
Ангилал:Италийн олимпийн мөнгөн медальтнууд	Category:意大利奧林匹克運動會銀牌得主
Ангилал:Ямайкын олимпийн мөнгөн медальтнууд	Category:牙買加奧林匹克運動會銀牌得主
Ангилал:Японы олимпийн мөнгөн медальтнууд	Category:日本奧林匹克運動會銀牌得主
Ангилал:Казахстаны олимпийн мөнгөн медальтнууд	Category:哈薩克奧林匹克運動會銀牌得主
Ангилал:Кенийн олимпийн мөнгөн медальтнууд	Category:肯亞奧林匹克運動會銀牌得主
Ангилал:Мароккогийн олимпийн мөнгөн медальтнууд	Category:摩洛哥奧林匹克運動會銀牌得主
Ангилал:Нигеригийн олимпийн мөнгөн медальтнууд	Category:尼日尼亞奧林匹克運動會銀牌得主
Ангилал:Румыны олимпийн мөнгөн медальтнууд	Category:羅馬尼亞奧林匹克運動會銀牌得主
Ангилал:Испанийн олимпийн мөнгөн медальтнууд	Category:西班牙奧林匹克運動會銀牌得主
Ангилал:Чехийн олимпийн мөнгөн медальтнууд	Category:捷克奧林匹克運動會銀牌得主
Ангилал:Нидерландын олимпийн мөнгөн медальтнууд	Category:荷蘭奧林匹克運動會銀牌得主
Ангилал:ЗХУ-ын олимпийн мөнгөн медальтнууд	Category:蘇聯奧林匹克運動會銀牌得主
Ангилал:Самоагийн тамирчид	Category:薩摩亞運動員
Ангилал:Шинжлэх ухаан нийгэмд	Category:社會中的科學
Ангилал:Шотландын биологичид	Category:蘇格蘭生物學家
Ангилал:Шотландын тамирчид	Category:苏格兰运动员
Загвар:MNG	Template:MNG
Ангилал:Хөвчтөнүүд	Category:脊索動物門
Ангилал:Шинто шашин	Category:神道
Ангилал:Торгоны зам	Category:絲綢之路
Ангилал:Цанын харайлтын тамирчид	Category:跳台滑雪运动员
Ангилал:Цаначид	Category:滑雪運動員
Ангилал:Дэлхийн нэгдүгээр дайнд оролцогчид	Category:第一次世界大戰人物
Ангилал:Нийгмийн түүх	Category:社會史
Ангилал:Перугийн тамирчид	Category:秘魯運動員
Ангилал:Петрологи	Category:岩石学
Ангилал:Сагсан бөмбөгийн холбон тоглогчид	Category:控球後衛
Ангилал:Дуу	Category:声音
Загвар:BEL	Template:BEL
Ангилал:ЗХУ-ын уран гулгагчид	Category:苏联花样滑冰运动员
Ангилал:Эртний үндэстнүүд	Category:古代族群
Ангилал:Бразилын ерөнхийлөгчид	Category:巴西总统
Ангилал:Колумбын ерөнхийлөгчид	Category:哥伦比亚总统
Ангилал:Тэшүүрчид	Category:速度滑冰运动员
Ангилал:Руандагийн ерөнхийлөгчид	Category:卢旺达总统
Ангилал:Унгарын ерөнхий сайдууд	Category:匈牙利总理
Ангилал:Шинэ Зеландын ерөнхий сайд нар	Category:新西兰总理
Ангилал:Гариг судлал	Category:行星科学
Ангилал:Өмнөд Солонгосын олимпийн хүрэл медальтнууд	Category:南韓奧林匹克運動會銅牌得主
Ангилал:Өмнөд Солонгосын олимпийн медальтнууд	Category:韓國奧林匹克運動會獎牌得主
Ангилал:Германы олимпийн хүрэл медальтнууд	Category:德國奧林匹克運動會銅牌得主
Ангилал:Хятадын нэгдүгээр зэргийн нутаг	Category:中華人民共和國省級行政區
Ангилал:Латвийн ерөнхийлөгчид	Category:拉脫維亞總統
Ангилал:Оросын олимпийн хүрэл медальтнууд	Category:俄羅斯奧林匹克運動會銅牌得主
Загвар:Country data Macedonia	Template:Country data Republic of Macedonia
Ангилал:Америк хөлбөмбөг	Category:美式足球
Ангилал:Литвын ерөнхийлөгчид	Category:立陶宛总统
Ангилал:Шумуулныхан	Category:蚊科
Ангилал:Гоо зүй	Category:美学
Ангилал:Монгол Улсын Ерөнхий Сайд	Category:蒙古国总理
Ангилал:Атейзм	Category:无神论
Ангилал:Бениний ерөнхийлөгчид	Category:贝宁总统
Ангилал:Цана	Category:滑雪運動
Ангилал:Олимпийн тэшүүрийн тэмцээнүүд	Category:奥林匹克运动会速度滑冰比赛
Ангилал:Бадминтон	Category:羽毛球
Ангилал:Хар салхид	Category:風災
Ангилал:Шведийн сагсан бөмбөгчид	Category:瑞典籃球運動員
Загвар:TPE	Template:TPE
Ангилал:1996 оны хөлбөмбөгийн Европын аварга шалгаруулах тэмцээн	Category:1996年歐洲國家盃
Ангилал:2004 оны хөлбөмбөгийн Европын аварга шалгаруулах тэмцээн	Category:2004年歐洲國家盃
Ангилал:Хөлбөмбөгийн Европын аварга шалгаруулах тэмцээн	Category:歐洲足球錦標賽
Ангилал:Төвд судлал	Category:藏学
Ангилал:Америкийн Нэгдсэн Улсын сагсан бөмбөгийн үндэсний шигшээ баг	Category:美國國家籃球隊
Загвар:Мемфис Гриззлис багийн бүрэлдэхүүн	Template:Memphis Grizzlies current roster
Ангилал:Угандын тамирчид	Category:烏干達運動員
Ангилал:Айкидо	Category:合气道
Ангилал:Улаанбаатар	Category:烏蘭巴托
Ангилал:Хүннүгийн шаньюй нар	Category:匈奴单于
Ангилал:Трабзонспор багийн тоглогчид	Category:特拉布宗球員
Ангилал:Тринидад ба Тобагогийн тамирчид	Category:特立尼达和多巴哥运动员
Ангилал:Сүмо	Category:相扑
Ангилал:Сүмочид	Category:相扑选手
Ангилал:Цаг хугацааны нэгжүүд	Category:时间单位
Ангилал:Шинэ Гэрээний хүмүүс	Category:新约圣经中的人
Ангилал:Теософи	Category:神智學
Ангилал:Уран сайхны сэлэлт	Category:花样游泳
Ангилал:Атлантын далай	Category:大西洋
Загвар:Country data United Arab Republic	Template:Country data United Arab Republic
Ангилал:Сагсан бөмбөгийн үндэсний шигшээ багууд	Category:各国国家篮球队
Ангилал:User mnc-2	Category:Mnc-2 使用者
Ангилал:User mnc-3	Category:Mnc-3 使用者
Ангилал:User nl-4	Category:Nl-4 使用者
Ангилал:Дуурь	Category:歌剧
Ангилал:Мароккогийн хөнгөн атлетикчид	Category:摩洛哥田径运动员
Ангилал:Бруней	Category:文萊
Ангилал:Германы канцлерууд	Category:德国总理
Ангилал:Австрийн ерөнхийлөгч	Category:奥地利总统
Ангилал:Иргэний дайнууд	Category:內戰
Ангилал:Хэрэглээний шинжлэх ухаанууд	Category:应用科学
Ангилал:АНУ-ын олимпийн аваргууд	Category:美國奧林匹克運動會金牌得主
Ангилал:Италийн олимпийн хүрэл медальтнууд	Category:意大利奧林匹克運動會銅牌得主
Ангилал:Птерозаврууд	Category:翼龍目
Ангилал:Японы олимпийн хүрэл медальтнууд	Category:日本奧林匹克運動會銅牌得主
Ангилал:Улс төрийн түүх	Category:政治史
Ангилал:Нарийвчлал маргаантай	Category:准确性有争议的作品
Ангилал:Хятадын олимпийн хүрэл медальтнууд	Category:中国奥林匹克运动会铜牌得主
Ангилал:Төв Европ	Category:中欧
Загвар:Country data Tanzania	Template:Country data Tanzania
Ангилал:Хятадын муж	Category:中国省份
Ангилал:Зимбабвегийн ерөнхийлөгчид	Category:津巴布韦总统
Ангилал:Философийн нэр томъёо	Category:哲学术语
Ангилал:Философийн сургуулиуд ба заншлууд	Category:哲學流派
Ангилал:Камеруны тамирчид	Category:喀麦隆运动员
Ангилал:Танзанийн ерөнхийлөгчид	Category:坦桑尼亚总统
Ангилал:Туннелууд	Category:隧道
Загвар:User cs-2	Template:User cs-2
Ангилал:Торонто	Category:多倫多
Ангилал:Торонто Рэпторс багийн тоглогчид	Category:多伦多猛龙队球员
Загвар:Country data South Georgia and the South Sandwich Islands	Template:Country data South Georgia and the South Sandwich Islands
Кобаяши Аяко	小林綾子
Загвар:Country data Saint Vincent and the Grenadines	Template:Country data Saint Vincent and the Grenadines
Загвар:Country data Somalia	Template:Country data Somalia
Иммануэл Пастрэйч	贝一明
Загвар:Image label begin	Template:Image label begin
Ангилал:Зөвлөл Холбоот Улсын Коммунист Нам	Category:蘇聯共產黨
Ангилал:Австралийн их, дээд сургууль	Category:澳大利亞大學
Ангилал:Бразилын олимпийн аваргууд	Category:巴西奧林匹克運動會金牌得主
Ангилал:Бразилын спортын үндэсний шигшээ багууд	Category:巴西體育國家隊
Ангилал:Хөнгөн атлетикийн дэлхийн аварга шалгаруулах тэмцээнүүд	Category:世界田徑錦標賽
Ангилал:Украйны ерөнхий сайдууд	Category:乌克兰总理
Ангилал:Аргентины олимпийн хүрэл медальтнууд	Category:阿根廷奧林匹克運動會銅牌得主
Ангилал:Унгарын олимпийн аваргууд	Category:匈牙利奧林匹克運動會金牌得主
Ангилал:Испанийн олимпийн аваргууд	Category:西班牙奧林匹克運動會金牌得主
Ангилал:Японы Их Сургуулиуд	Category:日本的大學
Ангилал:Шведийн цаначид	Category:瑞典越野滑雪運動員
Ангилал:Шведийн олимпийн аваргууд	Category:瑞典奧林匹克運動會金牌得主
Ангилал:Шведийн олимпийн мөнгөн медальтнууд	Category:瑞典奧林匹克運動會銀牌得主
Ангилал:Швейцарийн олимпийн хүрэл медальтнууд	Category:瑞士奧林匹克運動會銅牌得主
Ангилал:Канадын ерөнхий сайд нар	Category:加拿大總理
Ангилал:Бешикташ багийн тоглогчид	Category:比錫達斯球員
Ангилал:Норвегийн олимпийн аваргууд	Category:挪威奧林匹克運動會金牌得主
Ангилал:Вольфсбург багийн тоглогчид	Category:禾夫斯堡球員
Ангилал:Олимпик Марсель багийн тоглогчид	Category:馬賽球員
Ангилал:ЗХУ-ын олимпийн аваргууд	Category:蘇聯奧林匹克運動會金牌得主
Ангилал:Эртний Грекийн яруу найрагчид	Category:古希腊诗人
Ангилал:Эртний Грекийн философичид	Category:古希腊哲学家
Ангилал:Канадын олимпийн мөнгөн медальтнууд	Category:加拿大奧林匹克運動會銀牌得主
Ангилал:Канадын олимпийн хүрэл медальтнууд	Category:加拿大奧林匹克運動會銅牌得主
Ангилал:Японы суурин газар	Category:日本各市
Ангилал:Польшийн олимпийн аваргууд	Category:波蘭奧林匹克運動會金牌得主
Ангилал:Балар эртний үе	Category:史前史
Ангилал:Чилийн ерөнхийлөгчид	Category:智利总统
Ангилал:Израйлийн ерөнхийлөгчид	Category:以色列總統
Ангилал:Мексикийн ерөнхийлөгчид	Category:墨西哥总统
Ангилал:Непалын ерөнхийлөгчид	Category:尼泊爾總統
Ангилал:Угандагийн ерөнхийлөгчид	Category:乌干达总统
Ангилал:Украйны ерөнхийлөгч	Category:乌克兰总统
Ангилал:Хувьсгалууд	Category:革命
Загвар:2005-2006 оны НБА-гийн аваргууд	Template:Miami Heat 2005-06 NBA champions
Ангилал:Чехословакийн олимпийн аваргууд	Category:捷克斯洛伐克奧林匹克運動會金牌得主
Ангилал:Чехийн тамирчид	Category:捷克运动员
Ангилал:Чехословакийн тамирчин	Category:捷克斯洛伐克運動員
Ангилал:Хятадын олимпийн мөнгөн медальтнууд	Category:中国奥林匹克运动会银牌得主
Ангилал:Хятадын олимпийн медальтнууд	Category:中國奧林匹克運動會獎牌得主
Ангилал:Кавказын ард түмэн	Category:高加索民族
Ангилал:User nl-0	Category:Nl-0 使用者
Загвар:EU	Template:EU
Загвар:HUN	Template:HUN
Ангилал:Хотууд	Category:城市
Ангилал:Кубын олимпийн хүрэл медальтнууд	Category:古巴奧林匹克運動會銅牌得主
Ангилал:Данийн олимпийн мөнгөн медальтнууд	Category:丹麥奧林匹克運動會銀牌得主
Ангилал:Уйгур үндэстэн	Category:维吾尔族
Ангилал:User mn-4	Category:Mn-4 使用者
Ангилал:User pt-BR	Category:Pt-br 使用者
Ангилал:Финландын олимпийн хүрэл медальтнууд	Category:芬蘭奧林匹克運動會銅牌得主
Ангилал:Хятадын волейболчид	Category:中國排球運動員
Ангилал:Украйны олимпийн хүрэл медальтнууд	Category:烏克蘭奧林匹克運動會銅牌得主
Ангилал:Узбекистаны олимпийн хүрэл медальтнууд	Category:烏茲別克奧林匹克運動會銅牌得主
Ангилал:Гүржийн олимпийн хүрэл медальтнууд	Category:格魯吉亞奧林匹克運動會銅牌得主
Ангилал:Словенийн олимпийн хүрэл медальтнууд	Category:斯洛文尼亞奧林匹克運動會銅牌得主
Ангилал:Тринидад ба Тобагогийн олимпийн хүрэл медальтнууд	Category:特立尼达和多巴哥奥林匹克运动会铜牌得主
Ангилал:Индонезийн олимпийн хүрэл медальтнууд	Category:印尼奧林匹克運動會銅牌得主
Ангилал:Кенийн олимпийн медальтнууд	Category:肯亞奧林匹克運動會獎牌得主
Ангилал:Монгол улсын их, дээд сургууль	Category:蒙古国大学
Ангилал:Наадмын загварууд	Category:亞洲運動會模板
Ангилал:Норвегийн олимпийн мөнгөн медальтнууд	Category:挪威奧林匹克運動會銀牌得主
Ангилал:Польшийн олимпийн мөнгөн медальтнууд	Category:波蘭奧林匹克運動會銀牌得主
Бурхны ном	法 (佛教)
Загвар:Өмнө Чолла аймгийн засаг захиргааны хуваарь	Template:全羅南道行政區劃
Ангилал:Оросын олимпийн мөнгөн медальтнууд	Category:俄羅斯奧林匹克運動會銀牌得主
Ангилал:User ru-0	Category:Ru-0 使用者
Ангилал:ЗХУ-ын олимпийн медальтнууд	Category:蘇聯奧林匹克運動會獎牌得主
Ангилал:ТУХН-ийн олимпийн мөнгөн медальтнууд	Category:獨聯體奧林匹克運動會銀牌得主
Ангилал:Өмнөд Солонгосын олимпийн мөнгөн медальтнууд	Category:南韓奧林匹克運動會銀牌得主
Ангилал:Тринидад ба Тобагогийн олимпийн мөнгөн медальтнууд	Category:特立尼达和多巴哥奥林匹克运动会银牌得主
Ангилал:Унгарын олимпийн мөнгөн медальтнууд	Category:匈牙利奧林匹克運動會銀牌得主
Ангилал:User es-0	Category:Es-0 使用者
Ангилал:User mn-0	Category:Mn-0 使用者
Загвар:Умар Чолла аймгийн засаг захиргааны хуваарь	Template:全羅北道行政區劃
Ангилал:Хувийн амьдрал	Category:生活
Загвар:Инфобокс Хэл/statesregion	Template:Infobox Language/statesregion
Ангилал:2003 оны газар хөдлөлт	Category:2003年地震
Загвар:Индонезийн мужууд	Template:Indonesia
Ангилал:User als-0	Category:Als-0 使用者
Ангилал:2006 оны өвлийн олимпт оролцогсод	Category:2006年冬季奧林匹克運動會運動員
Ангилал:Их Британийн хотууд	Category:英國城市
Загвар:Coord/display/title	Template:Coord/display/title
Ангилал:Зүүнгарын хаад	Category:准噶尔汗国大汗
Загвар:Инфобокс Хэл/rank	Template:Infobox Language/rank
Загвар:Инфобокс Хэл/IPA notice	Template:Infobox Language/IPA notice
Загвар:Ombox/core	Template:Ombox/core
Ангилал:User en-1	Category:En-1 使用者
Ангилал:1930 онд төрсөн	Category:1930年出生
Ангилал:1946 онд төрөгсөд	Category:1946年出生
Ангилал:User de-1	Category:De-1 使用者
Ангилал:1920 онд төрөгсөд	Category:1920年出生
Ангилал:1956 онд төрөгсөд	Category:1956年出生
Ангилал:1933 онд төрсөн	Category:1933年出生
Ангилал:1911 онд төрсөн	Category:1911年出生
Ангилал:1937 онд төрсөн	Category:1937年出生
Ангилал:1948 онд төрөгсөд	Category:1948年出生
Ангилал:1978 онд нас барагсад	Category:1978年逝世
Ангилал:1921 онд төрөгсөд	Category:1921年出生
Ангилал:1924 онд төрөгсөд	Category:1924年出生
Ангилал:1926 онд төрөгсөд	Category:1926年出生
Ангилал:1950 онд төрөгсөд	Category:1950年出生
Ангилал:1964 онд төрөгсөд	Category:1964年出生
Ангилал:АНУ-ын жүжигчид	Category:美国演员
Ангилал:2004 оны цомгууд	Category:2004年音樂專輯
Ангилал:2010 онд нас барагсад	Category:2010年逝世
Ангилал:Сэлүүрт завьчид	Category:赛艇运动员
Ангилал:Грэммийн шагналтнууд	Category:葛莱美奖获得者
Ангилал:Австрийн жүжигчин	Category:奧地利演員
Ангилал:Хүмүүстэй холбоотой загварууд	Category:人物模板
Ангилал:Цөмийн эрчим хүч	Category:核能
Ангилал:Гимнастикчид	Category:體操運動員
Ангилал:Дизайнерууд	Category:設計師
Ангилал:Германы жүжигчид	Category:德国演员
Ангилал:Усанд үсрэлт	Category:競技跳水
Загвар:Инфобокс Хэл/official	Template:Infobox Language/official
Загвар:Fb cl2 header navbar	Template:Fb cl2 header navbar
Ангилал:АНУ-ын олимпийн медальтнууд	Category:美國奧林匹克運動會獎牌得主
Ангилал:Түүхэн монгол улс	Category:蒙古王朝
Загвар:Инфобокс Хэл/script	Template:Infobox Language/script
Загвар:Soccerbase	Template:Soccerbase
Загвар:OnLua	Template:Lua
Загвар:Сандерлэнд багийн бүрэлдэхүүн	Template:新特蘭球員名單
Загвар:Сток Сити багийн бүрэлдэхүүн	Template:史篤城球員名單
Загвар:Атлетик Бильбао багийн бүрэлдэхүүн	Template:畢爾包體育會球員名單
Загвар:Севилья багийн бүрэлдэхүүн	Template:西維爾足球會
Загвар:Инфобокс спортын улирал	Template:Infobox sports season
Загвар:Боруссиа Дортмунд багийн бүрэлдэхүүн	Template:多蒙特球員名單
Загвар:Вольфсбург багийн бүрэлдэхүүн	Template:禾夫斯堡球員名單
Загвар:Эспаньол багийн бүрэлдэхүүн	Template:皇家愛斯賓奴體育會球員名單
Загвар:Наполи багийн бүрэлдэхүүн	Template:拿玻里球員名單
Загвар:Лацио багийн бүрэлдэхүүн	Template:拉素球員名單
Трей Бёрк	特雷·伯克
Загвар:Норвич Сити багийн бүрэлдэхүүн	Template:諾域治球員名單
Загвар:2006 оны ДАШТ-д Италийн хөлбөмбөгийн шигшээ	Template:2006年世界盃足球賽意大利參賽名單
Загвар:Умар Чүнчон аймгийн засаг захиргааны хуваарь	Template:忠清北道行政區劃
Загвар:Bo	Template:Bo
Дайчинтана	黛青塔娜
Загвар:Location map/x	Template:Location map-line/x
Загвар:Location map/y	Template:Location map-line/y
Загвар:Зөвлөлт Холбоот Улсын Маршалууд	Template:蘇聯元帥
Wikipedia:Зураг, дүрсийн хэрэглээтэй холбоотой баримтлах бодлого	Wikipedia:文件版权标志
Ангилал:Премьер лиг	Category:英格蘭足球超級聯賽
Загвар:Country flag IOC alias GRE	Template:Country flag IOC alias GRE
Загвар:Country flag IOC alias CAN	Template:Country flag IOC alias CAN
Загвар:Country flag IOC alias NED	Template:Country flag IOC alias NED
Загвар:Country flag IOC alias NOR	Template:Country flag IOC alias NOR
Загвар:2001—2020 оны Оскарын шагналтан (эрэгтэй туслах дүр)	Template:奥斯卡最佳男配角奖 (2001–2020)
Загвар:1981-2000 оны Оскарын шагналтнууд (эмэгтэй туслах дүр)	Template:奥斯卡最佳女配角奖 (1981–2000)
Загвар:2001—2020 оны Оскарын шагналтан (эмэгтэй туслах дүр)	Template:奥斯卡最佳女配角奖 (2001–2020)
Загвар:Реал Мадрид багийн бүрэлдэхүүн	Template:皇家马德里
Загвар:Japan-footy-bio-stub	Template:Japan-footy-bio-stub
Хойд Америкийн үхэр зараа	北美豪豬
Загвар:MedalBottom	Template:MedalBottom
Бушехрийн газар хөдлөлт	2013年布什尔省地震
Загвар:Чехийн шигшээ багийн 2006 оны хөлбөмбөгийн ДАШТ-д оролцсон бүрэлдэхүүн	Template:2006年世界杯足球赛捷克参赛名单
Загвар:Майами Хийт багийн бүрэлдэхүүн	Template:Miami Heat current roster
Загвар:Тува орны засаг захиргааны хуваарь	Template:圖瓦共和國城市
Загвар:1 cell table row	Template:1 cell table row
Загвар:2 cell table row	Template:2 cell table row
Загвар:Ньюкасл Юнайтед багийн бүрэлдэхүүн	Template:纽卡斯尔联球员名单
Загвар:Вест Бромвич Альбион багийн бүрэлдэхүүн	Template:西布朗球員名單
Загвар:Вулверхэмптон Уондерерс багийн бүрэлдэхүүн	Template:狼隊球員名單
Загвар:Уиган Атлетик багийн бүрэлдэхүүн	Template:韋根球員名單
Ми-171	Mi-171直升机
Загвар:Монако багийн бүрэлдэхүүн	Template:摩納哥球員名單
Загвар:Start date	Template:Start date
Загвар:Сагсан бөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Template:世界盃籃球賽
Загвар:Кёнги аймгийн засаг захиргааны хуваарь	Template:京畿道行政區劃
Загвар:Өмнөдийн Канвонь аймгийн засаг захиргааны хуваарь	Template:江原道行政區劃
Загвар:БНАСАУ-ын засаг захиргааны хуваарь	Template:Chosun
Загвар:Өмнө Чүнчон аймгийн засаг захиргааны хуваарь	Template:忠清南道行政區劃
Загвар:Country flag IOC alias COL	Template:Country flag IOC alias COL
Загвар:Country flag IOC alias ARM	Template:Country flag IOC alias ARM
Загвар:Country flag IOC alias VEN	Template:Country flag IOC alias VEN
Загвар:Country flag IOC alias ESP	Template:Country flag IOC alias ESP
Загвар:Country flag IOC alias NZL	Template:Country flag IOC alias NZL
Загвар:Country flag IOC alias SLO	Template:Country flag IOC alias SLO
Загвар:Country flag IOC alias UKR	Template:Country flag IOC alias UKR
Загвар:Decimals	Template:Decimals
Улсболд	乌鲁斯博罗特
Загвар:Country flag IOC alias TPE	Template:Country flag IOC alias TPE
Загвар:Country flag IOC alias EGY	Template:Country flag IOC alias EGY
Загвар:Country flag IOC alias PAR	Template:Country flag IOC alias PAR
Загвар:Country flag IOC alias UZB	Template:Country flag IOC alias UZB
Загвар:User nl-4	Template:User nl-4
Загвар:НБА-гийн улирлууд	Template:NBA 賽季
Загвар:User zh-min-nan-3	Template:User nan-3
Загвар:User ru-3	Template:User ru-3
Загвар:Legend2	Template:Legend2
Загвар:2011 оны Азийн цомд Өмнөд Солонгосын хөлбөмбөгийн шигшээ	Template:2011年亚洲杯足球赛韩国参赛名单
Загвар:МедальАлт	Template:MedalGold
Загвар:User nl-3	Template:User nl-3
Загвар:Country IOC alias CHN	Template:Country IOC alias CHN
Загвар:МедальХүрэл	Template:MedalBronze
Загвар:2010-2011 оны НБА-гийн аваргууд	Template:Dallas Mavericks 2010-11 NBA champions
Wikipedia:Администраторуудтай холбоотой асуултууд	Wikipedia:管理者常见问题解答
Загвар:User dsb-1	Template:User dsb-1
Загвар:МедальМөнгө	Template:MedalSilver
Загвар:Мөнх Гал	Template:Menk
Загвар:Country flag IOC alias BAN	Template:Country flag IOC alias BAN
Загвар:Country flag IOC alias NGR	Template:Country flag IOC alias NGR
Загвар:National football squad player (goals)	Template:Nat fs g player
Загвар:2010 оны ДАШТ-д АНУ-ын хөлбөмбөгийн шигшээ	Template:2010年世界盃足球賽美國參賽名單
Загвар:User mn-0	Template:User mn-0
Загвар:Монгол бичиг үсэг	Template:蒙古文字
Загвар:Словак хэлний цагаан толгой	Template:Alphabet sk
Загвар:2006 оны ДАШТ-д Ганын хөлбөмбөгийн шигшээ	Template:2006年世界盃足球賽加納參賽名單
Загвар:2011 оны Америкийн цомд Бразилын хөлбөмбөгийн шигшээ	Template:2011年美洲國家盃足球賽巴西參賽名單
Загвар:Цуцашгүй Нэмэрлэгч Одон	Template:不倦星章
Загвар:Хамбург багийн бүрэлдэхүүн	Template:漢堡球員名單
Загвар:Location map-	Template:Location map-line/draw line
Загвар:Football squad2 player	Template:Football squad2 player
Загвар:Инфобокс Уран барилгачид	Template:Infobox Architect
Загвар:2012 оны Зуны Олимпийн наадмын тоглолтын хуанли	Template:2012年夏季奧林匹克運動會比賽賽程表
Загвар:USA1912	Template:USA-1912
Загвар:Country flag IOC alias BHU	Template:Country flag IOC alias BHU
Загвар:2008 оны ЕАШТ-д Оросын хөлбөмбөгийн шигшээ	Template:2008年歐洲足球錦標賽俄羅斯參賽名單
Загвар:Country flag IOC alias EUN	Template:Country flag IOC alias EUN
Загвар:Football player statistics 3	Template:Football player statistics 3
Загвар:Fb team Portsmouth	Template:Fb team Portsmouth
Загвар:ФИВБ Дэлхийн аварга шалгаруулах тэмцээн	Template:世界排球锦标赛
Wikipedia:Википедиатай холбоотой асуултууд	Wikipedia:基本常见问题解答
Загвар:Fb team Bayern Munich	Template:Fb team Bayern Munich
Загвар:Fb team Mönchengladbach	Template:Fb team Mönchengladbach
Загвар:Манчестер Сити багийн бүрэлдэхүүн	Template:曼城球員名單
Загвар:Football squad manager	Template:Football squad manager
Загвар:Инфобокс ФИБА тэмцээн	Template:Infobox FIBA tourney
Загвар:MedalCountry	Template:MedalCountry
Загвар:Fb team Werder Bremen	Template:Fb team 云达不来梅
Загвар:Fb team Sunderland	Template:Fb team Sunderland
Загвар:Country flag IOC alias ROU	Template:Country flag IOC alias ROU
Загвар:Vb	Template:Vb
Загвар:Fb team Mainz	Template:Fb team Mainz
Загвар:SFA Profile	Template:SFA Profile
Загвар:Discogs artist	Template:Discogs artist
Загвар:Country flag IOC alias ALB	Template:Country flag IOC alias ALB
Загвар:Fb team Nuremberg	Template:Fb team Nuremberg
Загвар:Larger	Template:Larger
Загвар:Fb team Hamburg	Template:Fb team Hamburg
Загвар:НБА-гийн он дараалал	Template:NBA Year
Загвар:Рейтинг-10	Template:Rating-10
Загвар:Winning percentage	Template:Winning percentage
Загвар:Сагсан бөмбөгийн эмэгтэйчүүдийн дэлхийн аварга шалгаруулах тэмцээн	Template:世界女子籃球錦標賽
Загвар:НБА-гийн улирлын MVP	Template:NBA MVPs
Загвар:Медалийн хүснэгт	Template:MedalTable
Загвар:Германы хөлбөмбөгийн лиг	Template:德甲賽季
Загвар:НБА-гийн тоглогчийн үзүүлэлт	Template:NBA player statistics start
Загвар:Универсиад	Template:世界大學運動會
Загвар:F1 гараа	Template:F1 race report
Загвар:Country flag IOC alias ASA	Template:Country flag IOC alias ASA
Загвар:Panorama	Template:Panorama
Загвар:Сүмогийн үзүүлэлтийн хайрцаг эхлэл	Template:Sumo record box start
Загвар:УЕФА гишүүн орнууд	Template:歐洲足聯國家足球協會
Загвар:Словенийн шигшээ багийн 2010 оны хөлбөмбөгийн ДАШТ-д оролцсон бүрэлдэхүүн	Template:2010年世界盃足球賽斯洛文尼亞參賽名單
Загвар:Жүдо ДАШТ	Template:世界柔道錦標賽
Загвар:2010 оны ДАШТ-д Швейцарийн хөлбөмбөгийн шигшээ	Template:2010年世界盃足球賽瑞士參賽名單
Загвар:Грекийн шигшээ багийн 2010 оны хөлбөмбөгийн ДАШТ-д оролцсон бүрэлдэхүүн	Template:2010年世界盃足球賽希臘參賽名單
Загвар:S-ach	Template:S-ach
Wikipedia:Википедиаг хөгжүүлэхтэй холбоотой асуултууд	Wikipedia:参与者常见问题解答
Загвар:Италийн хөлбөмбөгийн лиг	Template:意甲
Загвар:Ливерпүүл багийн бүрэлдэхүүн	Template:利物浦球員名單
Загвар:Fb round2 2010-11 UEL PO	Template:Fb round2 2010-11 UEL PO
Загвар:Fb team Freiburg	Template:Fb team Freiburg
Загвар:Fb team Frankfurt	Template:Fb team Eintracht Frankfurt
Загвар:Бирмингем Сити багийн бүрэлдэхүүн	Template:伯明翰球員名單
Загвар:Fb team Schalke 04	Template:Fb team Schalke 04
Загвар:Sumo record box end	Template:Sumo record box end
