Afraga	非洲
Codington County, Dakota a Deas	科丁頓縣 (南達科他州)
Corson County, Dakota a Deas	科森縣 (南達科他州)
Clark County, Dakota a Deas	克拉克縣 (南達科他州)
Brule County, Dakota a Deas	布魯爾縣 (南達科他州)
Dewey County, Dakota a Deas	杜威縣 (南達科他州)
Lawrence County, Dakota a Deas	勞倫斯縣 (南達科他州)
Charles Mix County, Dakota a Deas	查爾斯米克斯縣 (南達科他州)
Green County, Wisconsin	格林縣 (威斯康辛州)
Minnehaha County, Dakota a Deas	明尼哈哈縣
Sioux City, Iowa	蘇城
Douglas County, Dakota a Deas	道格拉斯縣 (南達科他州)
Deuel County, Dakota a Deas	杜爾縣 (南達科他州)
Clay County, Dakota a Deas	克莱县 (南达科他州)
Marshall County, Oklahoma	馬歇爾縣 (奧克拉荷馬州)
Love County, Oklahoma	拉夫縣 (奧克拉荷馬州)
Kay County, Oklahoma	凱縣
Tillman County, Oklahoma	蒂爾曼縣 (奧克拉荷馬州)
Hughes County, Oklahoma	休斯縣 (奧克拉荷馬州)
Roger Mills County, Oklahoma	羅傑米爾斯縣 (奧克拉荷馬州)
Haakon County, Dakota a Deas	哈康縣 (南達科他州)
Anderson County, Carolina a Deas	安德森縣 (南卡羅萊納州)
Woodward County, Oklahoma	伍德沃德縣 (奧克拉荷馬州)
Wagoner County, Oklahoma	瓦戈納縣 (奧克拉荷馬州)
Pushmataha County, Oklahoma	普什馬塔哈縣 (奧克拉荷馬州)
Woods County, Oklahoma	伍茲縣 (奧克拉荷馬州)
Pawnee County, Oklahoma	波尼縣 (奧克拉荷馬州)
Murray County, Oklahoma	莫雷縣 (奧克拉荷馬州)
Tulsa County, Oklahoma	塔爾薩縣
Washington County, Oklahoma	華盛頓縣 (奧克拉荷馬州)
Wheeler County, Nebraska	惠勒縣 (內布拉斯加州)
Custer County, Dakota a Deas	卡斯特縣 (南達科他州)
Randolph County, Missouri	蘭道夫縣 (密蘇里州)
York County, Nebraska	約克縣 (內布拉斯加州)
Hamilton County, Nebraska	漢密爾頓縣 (內布拉斯加州)
Nemaha County, Nebraska	尼馬哈縣 (內布拉斯加州)
Johnson County, Nebraska	約翰遜縣 (內布拉斯加州)
Logan County, Nebraska	洛根縣 (內布拉斯加州)
Pawnee County, Nebraska	波尼縣 (內布拉斯加州)
Webster County, Nebraska	韋伯斯特縣 (內布拉斯加州)
Hooker County, Nebraska	胡克爾縣 (內布拉斯加州)
Thomas County, Nebraska	托馬斯縣 (內布拉斯加州)
Nance County, Nebraska	南斯縣 (內布拉斯加州)
Keya Paha County, Nebraska	基亞帕哈縣 (內布拉斯加州)
Greeley County, Nebraska	格里利縣 (內布拉斯加州)
Rock County, Nebraska	羅克縣 (內布拉斯加州)
Richardson County, Nebraska	理查森縣 (內布拉斯加州)
Garfield County, Nebraska	加菲爾德縣 (內布拉斯加州)
New Madrid County, Missouri	新馬德里縣 (密蘇里州)
Garden County, Nebraska	加登縣
Saline County, Missouri	薩林縣 (密蘇里州)
Ripley County, Missouri	里普利縣 (密蘇里州)
Ste. Genevieve County, Missouri	聖熱訥維耶沃縣 (密蘇里州)
St. Clair County, Missouri	聖克萊爾縣 (密蘇里州)
Nodaway County, Missouri	諾德韋縣 (密蘇里州)
Polk County, Missouri	波爾克縣 (密蘇里州)
Reynolds County, Missouri	雷諾茲縣 (密蘇里州)
Ozark County, Missouri	奧札克縣
St. Charles County, Missouri	聖查爾斯縣 (密蘇里州)
Pike County, Missouri	派克縣 (密蘇里州)
Ray County, Missouri	雷縣 (密蘇里州)
Putnam County, Missouri	普特南縣 (密蘇里州)
Newton County, Missouri	牛頓縣 (密蘇里州)
Osage County, Missouri	歐塞奇縣 (密蘇里州)
Platte County, Missouri	普拉特縣 (密蘇里州)
Perry County, Missouri	佩里縣 (密蘇里州)
Jefferson County, Nebraska	傑佛遜縣 (內布拉斯加州)
Pulaski County, Missouri	普瓦斯基縣 (密蘇里州)
Moniteau County, Missouri	莫尼托縣 (密蘇里州)
Jefferson County, Missouri	傑佛遜縣 (密蘇里州)
Livingston County, Missouri	利文斯頓縣 (密蘇里州)
Macon County, Missouri	梅肯縣 (密蘇里州)
Lafayette County, Missouri	拉法葉縣 (密蘇里州)
Mississippi County, Missouri	密西西比縣 (密蘇里州)
Johnson County, Missouri	約翰遜縣 (密蘇里州)
Monroe County, Missouri	門羅縣 (密蘇里州)
Ratzeburg	拉策堡
Marion County, Missouri	馬里昂縣 (密蘇里州)
McDonald County, Missouri	麥克唐納縣 (密蘇里州)
Cambria County, Pennsylvania	坎布里亞縣 (賓夕法尼亞州)
Linn County, Missouri	林縣 (密蘇里州)
Lewis County, Missouri	劉易斯縣 (密蘇里州)
Knox County, Missouri	諾克斯縣 (密蘇里州)
Miller County, Missouri	米勒縣 (密蘇里州)
Laclede County, Missouri	拉克利德縣 (密蘇里州)
Iron County, Missouri	艾昂縣 (密蘇里州)
Madison County, Missouri	麥迪遜縣 (密蘇里州)
Montgomery County, Missouri	蒙哥馬利縣 (密蘇里州)
Jasper County, Missouri	傑斯帕縣 (密蘇里州)
Mercer County, Missouri	默瑟縣 (密蘇里州)
Taylor County, Texas	泰勒縣 (德克薩斯州) (1858)
Appomattox County, Virginia	阿波馬托克斯縣 (維吉尼亞州)
Lincoln County, Montana	林肯縣 (蒙大拿州)
Greene County, Missouri	格林縣 (密蘇里州)
Hickory County, Missouri	希科里縣 (密蘇里州)
Gentry County, Missouri	金特里縣 (密蘇里州)
Henry County, Missouri	亨利县 (密苏里州)
Franklin County, Missouri	富蘭克林縣 (密蘇里州)
Gasconade County, Missouri	加斯科內德縣 (密蘇里州)
Grundy County, Missouri	格蘭迪縣 (密蘇里州)
Harrison County, Missouri	哈里森縣 (密蘇里州)
Holt County, Missouri	霍爾特縣 (密蘇里州)
Ventura, Calafòrnia	文图拉 (加利福尼亚州)
Judith Basin County, Montana	朱迪斯盆地縣 (蒙大拿州)
Oconto County, Wisconsin	奧康托縣 (威斯康辛州)
Bayfield County, Wisconsin	貝菲縣 (威斯康辛州)
Sublette County, Wyoming	薩布萊特縣 (懷俄明州)
Grant County, Dakota a Deas	格蘭特縣 (南達科他州)
Hudson County, Jersey Nuadh	哈德遜縣
Platte County, Wyoming	普拉特縣 (懷俄明州)
Sheridan County, Wyoming	謝里敦縣 (懷俄明州)
Door County, Wisconsin	多爾縣 (威斯康辛州)
Gulfport, Mississippi	格尔夫波特 (密西西比州)
Luce County, Michigan	盧斯縣 (密西根州)
Red Willow County, Nebraska	雷德威洛縣 (內布拉斯加州)
Haskell County, Oklahoma	哈斯克爾縣 (奧克拉荷馬州)
Dodge County, Nebraska	道奇縣 (內布拉斯加州)
Custer County, Oklahoma	卡斯特縣 (奧克拉荷馬州)
Biloxi, Mississippi	比洛克西 (密西西比州)
Dewey County, Oklahoma	杜威縣 (奧克拉荷馬州)
Coal County, Oklahoma	科爾縣 (奧克拉荷馬州)
Fort Collins, Colorado	科林斯堡 (科罗拉多州)
Sanders County, Montana	桑德斯縣 (蒙大拿州)
Choctaw County, Oklahoma	喬克托縣 (奧克拉荷馬州)
Stillwater County, Montana	斯蒂爾沃特縣 (蒙大拿州)
Carroll County, Missouri	卡洛爾縣 (密蘇里州)
Alfalfa County, Oklahoma	亞爾發法縣
Craig County, Oklahoma	克雷格縣 (奧克拉荷馬州)
Howard County, Missouri	霍華德縣 (密蘇里州)
Pendleton County, Virginia an Iar	彭德爾頓縣 (西維吉尼亞州)
Somerset County, Pennsylvania	萨默塞特县 (宾夕法尼亚州)
York County, Pennsylvania	約克縣 (賓夕法尼亞州)
Berks County, Pennsylvania	伯克縣 (賓夕法尼亞州)
Boone County, Virginia an Iar	布恩縣 (西維吉尼亞州)
Brooke County, Virginia an Iar	布魯克縣
Jefferson County, Virginia an Iar	傑佛遜縣 (西維吉尼亞州)
Berkeley County, Virginia an Iar	伯克利县 (西弗吉尼亚州)
Morgan County, Virginia an Iar	摩根縣 (西維吉尼亞州)
Calhoun County, Virginia an Iar	卡爾霍恩縣 (西維吉尼亞州)
Richland County, Illinois	里奇蘭縣 (伊利諾伊州)
Whiteside County, Illinois	懷特塞德縣 (伊利諾伊州)
Logan County, Illinois	洛根縣 (伊利諾伊州)
Morgan County, Illinois	摩根縣 (伊利諾伊州)
Sangamon County, Illinois	桑加蒙縣 (伊利諾伊州)
Fulton County, Illinois	富爾頓縣 (伊利諾伊州)
Rock Island County, Illinois	羅克艾蘭縣 (伊利諾伊州)
Iroquois County, Illinois	易洛魁縣 (伊利諾伊州)
Pike County, Illinois	派克縣 (伊利諾伊州)
Warren County, Illinois	沃倫縣 (伊利諾伊州)
Schuyler County, Illinois	斯凱勒縣 (伊利諾伊州)
Stephenson County, Illinois	斯蒂芬森縣 (伊利諾伊州)
Lee County, Illinois	李縣 (伊利諾伊州)
Aroostook County, Maine	阿魯斯圖克縣
Minidoka County, Idaho	米尼多卡縣 (愛達荷州)
Teton County, Idaho	提頓縣 (愛達荷州)
Lewis County, Idaho	劉易斯縣 (愛達荷州)
Jessamine County, Kentucky	傑薩曼縣 (肯塔基州)
Mason County, Kentucky	梅森縣 (肯塔基州)
Powell County, Kentucky	鮑威爾縣 (肯塔基州)
Mackinac County, Michigan	麥基諾縣 (密西根州)
Fontana, Calafòrnia	方塔納 (加利福尼亞州)
Lee County, Kentucky	李縣 (肯塔基州)
Canton, Ohio	坎顿 (俄亥俄州)
Power County, Idaho	鮑爾縣
Owyhee County, Idaho	奧懷希縣
Moultrie County, Illinois	莫爾特里縣 (伊利諾伊州)
Valley County, Idaho	瓦利縣 (愛達荷州)
Twin Falls County, Idaho	特溫福爾斯縣 (愛達荷州)
Mason County, Illinois	梅森縣 (伊利諾伊州)
Muscatine County, Iowa	馬斯卡廷縣
Wayne County, Missouri	韋恩縣 (密蘇里州)
Mercer County, Illinois	默瑟縣 (伊利諾伊州)
Payette County, Idaho	佩埃特縣 (愛達荷州)
O'Brien County, Iowa	奧布賴恩縣 (愛阿華州)
Macoupin County, Illinois	马库平县 (伊利诺伊州)
Wright County, Iowa	賴特縣 (愛阿華州)
Madison County, Idaho	麥迪遜縣 (愛達荷州)
Marshall County, Illinois	馬歇爾縣 (伊利諾伊州)
Lawrence County, Illinois	勞倫斯縣 (伊利諾伊州)
Logan County, Kentucky	洛根縣 (肯塔基州)
Meagher County, Montana	馬爾縣
Alexander County, Carolina a Tuath	亞歷山大縣 (北卡羅萊納州)
Caddo County, Oklahoma	卡多縣 (奧克拉荷馬州)
Bryan County, Oklahoma	布賴恩縣 (奧克拉荷馬州)
Blaine County, Oklahoma	布萊恩縣 (奧克拉荷馬州)
Ashe County, Carolina a Tuath	阿什縣 (北卡羅萊納州)
Cherokee County, Oklahoma	切羅基縣 (奧克拉荷馬州)
Beckham County, Oklahoma	貝坎縣
Hutchinson County, Dakota a Deas	哈欽森縣 (南達科他州)
Fulton County, Kentucky	富爾頓縣 (肯塔基州)
Carlisle County, Kentucky	卡萊爾縣 (肯塔基州)
Clinton County, Kentucky	克林頓縣 (肯塔基州)
Ballard County, Kentucky	巴拉德縣 (肯塔基州)
Hardin County, Kentucky	哈丁县 (肯塔基州)
Carroll County, Kentucky	卡洛爾縣 (肯塔基州)
Casey County, Kentucky	凱西縣 (肯塔基州)
Hart County, Kentucky	哈特縣 (肯塔基州)
Franklin County, Kentucky	富蘭克林縣 (肯塔基州)
Calloway County, Kentucky	卡洛威縣 (肯塔基州)
Berja	贝尔哈
Fayette County, Kentucky	費耶特縣 (肯塔基州)
Campbell County, Kentucky	坎貝爾縣 (肯塔基州)
Bell County, Kentucky	貝爾縣 (肯塔基州)
Bracken County, Kentucky	布拉肯縣 (肯塔基州)
Androscoggin County, Maine	安德羅斯科金縣
Grant County, Kentucky	格蘭特縣 (肯塔基州)
Clay County, Kentucky	克莱县 (肯塔基州)
Harrison County, Kentucky	哈里森縣 (肯塔基州)
Bullitt County, Kentucky	布利特縣 (肯塔基州)
Caldwell County, Kentucky	考德威爾縣 (肯塔基州)
Garrard County, Kentucky	加勒德縣
Hancock County, Kentucky	漢考克縣 (肯塔基州)
Boyd County, Kentucky	博伊德縣 (肯塔基州)
Rio Blanco County, Colorado	里奧布蘭科縣 (科羅拉多州)
Harding County, Dakota a Deas	哈定縣 (南達科他州)
Broomfield, Colorado	布隆菲 (科羅拉多州)
Mürzzuschlag	米爾茨楚施拉格
Pike County, Alabama	派克县 (亚拉巴马州)
Grays Harbor County, Washington	格雷斯港县 (华盛顿州)
Island County, Washington	艾兰县 (华盛顿州)
Allen County, Indiana	艾倫縣 (印地安納州)
Yankton County, Dakota a Deas	揚克頓縣 (南達科他州)
Seanadh Nàiseanta na Cuimrigh	威爾斯國民議會
Columbia County, Wisconsin	哥倫比亞縣 (威斯康辛州)
Barbour County, Virginia an Iar	巴伯縣 (西維吉尼亞州)
Duval County, Florida	杜瓦爾縣 (佛羅里達州)
Hampshire County, Virginia an Iar	漢普夏縣 (西維吉尼亞州)
Greene County, Alabama	格林縣 (阿拉巴馬州)
Madison County, Alabama	麥迪遜縣 (阿拉巴馬州)
Etowah County, Alabama	埃托瓦县
Fayette County, Alabama	費耶特縣 (阿拉巴馬州)
Worcester County, Maryland	烏斯特縣 (馬里蘭州)
Huntingdon County, Pennsylvania	亨丁頓縣
Doddridge County, Virginia an Iar	多德里奇縣 (西維吉尼亞州)
Crawford County, Pennsylvania	克勞福德縣 (賓夕法尼亞州)
Clinton County, Pennsylvania	克林頓縣 (賓夕法尼亞州)
Greene County, Pennsylvania	格林縣 (賓夕法尼亞州)
Beaver County, Pennsylvania	比佛縣 (賓夕法尼亞州)
Lehigh County, Pennsylvania	利哈伊縣
Franklin County, Pennsylvania	富蘭克林縣 (賓夕法尼亞州)
Cabell County, Virginia an Iar	喀拜爾縣 (西維吉尼亞州)
Cumberland County, Pennsylvania	坎伯蘭縣 (賓夕法尼亞州)
Braxton County, Virginia an Iar	布拉克斯頓縣 (西維吉尼亞州)
Cameron County, Pennsylvania	卡梅倫縣 (賓夕法尼亞州)
Blair County, Pennsylvania	布萊爾縣
Jefferson County, Pennsylvania	傑佛遜縣 (賓夕法尼亞州)
Mifflin County, Pennsylvania	密夫林縣
Northumberland County, Pennsylvania	諾森伯蘭縣 (賓夕法尼亞州)
Wayne County, Pennsylvania	韋恩縣 (賓夕法尼亞州)
Bedford County, Pennsylvania	貝德福縣 (賓夕法尼亞州)
Brunswick County, Virginia	不倫瑞克縣 (維吉尼亞州)
Armstrong County, Pennsylvania	阿姆斯特朗縣 (賓夕法尼亞州)
Bucks County, Pennsylvania	巴克斯縣
Clarion County, Pennsylvania	克拉里恩縣
Greenbrier County, Virginia an Iar	格林布賴爾縣
Schuylkill County, Pennsylvania	斯古吉爾縣
Fulton County, Pennsylvania	富爾頓縣 (賓夕法尼亞州)
Bedford County, Virginia	貝德福縣 (維吉尼亞州)
Grant County, Virginia an Iar	格蘭特縣 (西維吉尼亞州)
Kent County, Maryland	肯特县 (马里兰州)
Clearfield County, Pennsylvania	克利爾菲縣
Forest County, Pennsylvania	福雷斯縣 (賓夕法尼亞州)
Venango County, Pennsylvania	韋南戈縣 (賓夕法尼亞州)
Centre County, Pennsylvania	申特縣
Elk County, Pennsylvania	艾克縣 (賓夕法尼亞州)
Westmoreland County, Virginia	威斯特摩兰县 (弗吉尼亚州)
Kootenai County, Idaho	庫特內縣 (愛達荷州)
Madison County, Florida	麥迪遜縣 (佛羅里達州)
St. Johns County, Florida	聖約翰斯縣 (佛羅里達州)
Okaloosa County, Florida	奧卡魯沙縣
Idaho County, Idaho	愛達荷縣 (愛達荷州)
Kankakee County, Illinois	坎卡基縣 (伊利諾伊州)
Franklin County, Idaho	富蘭克林縣 (愛達荷州)
Santa Rosa County, Florida	聖羅薩縣 (佛羅里達州)
Fremont County, Idaho	弗里蒙特縣 (愛達荷州)
Gem County, Idaho	傑姆縣 (愛達荷州)
Shoshone County, Idaho	肖肖尼縣 (愛達荷州)
Jefferson County, Idaho	傑佛遜縣 (愛達荷州)
Hechingen	黑欣根
Jerome County, Idaho	傑羅姆縣 (愛達荷州)
Volusia County, Florida	沃盧西亞縣
Kalawao County, Hawaii	卡拉沃县
Knox County, Illinois	諾克斯縣 (伊利諾伊州)
Tazewell County, Illinois	塔茲韋爾縣 (伊利諾伊州)
St. Lucie County, Florida	圣卢西亚县 (佛罗里达州)
Nez Perce County, Idaho	內茲珀斯縣 (愛達荷州)
Gooding County, Idaho	古丁縣 (愛達荷州)
Putnam County, Illinois	普特南縣 (伊利諾伊州)
Mingo County, Virginia an Iar	明戈縣
Lee County, Florida	李縣 (佛羅里達州)
Bruis	毛笔
Geneva County, Alabama	杰尼瓦县 (亚拉巴马州)
Broward County, Florida	布劳沃德县
DeKalb County, Alabama	迪卡尔布县 (亚拉巴马州)
Elmore County, Alabama	埃尔莫尔县 (亚拉巴马州)
Moreno Valley, Calafòrnia	莫雷諾谷
Walworth County, Dakota a Deas	沃爾沃思縣 (南達科他州)
Brown County, Wisconsin	布朗縣 (威斯康辛州)
Crawford County, Wisconsin	克勞福德縣 (威斯康辛州)
Fond du Lac County, Wisconsin	豐迪拉克縣 (威斯康辛州)
Barron County, Wisconsin	巴倫縣 (威斯康辛州)
Dunn County, Wisconsin	鄧恩縣 (威斯康辛州)
Trempealeau County, Wisconsin	特倫珀洛縣 (威斯康辛州)
Ashland County, Wisconsin	阿什兰县 (威斯康星州)
Douglas County, Wisconsin	道格拉斯縣 (威斯康辛州)
Buffalo County, Wisconsin	水牛縣 (威斯康辛州)
Lincoln County, Wisconsin	林肯縣 (威斯康辛州)
Burnett County, Wisconsin	伯奈特縣 (威斯康辛州)
Clark County, Wisconsin	克拉克縣 (威斯康辛州)
Lancaster County, Carolina a Deas	蘭開斯特縣 (南卡羅萊納州)
Edgefield County, Carolina a Deas	埃奇菲爾德縣 (南卡羅萊納州)
Berkeley County, Carolina a Deas	伯克利县 (南卡罗来纳州)
Bland County, Virginia	布蘭德縣 (維吉尼亞州)
Cumberland County, Virginia	坎伯蘭縣 (維吉尼亞州)
Montgomery County, Virginia	蒙哥馬利縣 (維吉尼亞州)
Wayne County, Virginia an Iar	韋恩縣 (西維吉尼亞州)
Botetourt County, Virginia	博特托爾特縣 (維吉尼亞州)
Webster County, Virginia an Iar	韋伯斯特縣 (西維吉尼亞州)
Clarke County, Virginia	克拉克縣 (維吉尼亞州)
Lewis County, Virginia an Iar	劉易斯縣 (西維吉尼亞州)
Lincoln County, Virginia an Iar	林肯縣 (西維吉尼亞州)
Culpeper County, Virginia	庫爾佩珀縣
Preston County, Virginia an Iar	普雷斯頓縣
Logan County, Virginia an Iar	洛根縣 (西維吉尼亞州)
Dickenson County, Virginia	狄更生縣 (維吉尼亞州)
Campbell County, Virginia	坎貝爾縣 (維吉尼亞州)
Upshur County, Virginia an Iar	厄普舍縣 (西維吉尼亞州)
Buchanan County, Virginia	布坎南縣 (維吉尼亞州)
Craig County, Virginia	克雷格縣 (維吉尼亞州)
Potter County, Dakota a Deas	波特縣 (南達科他州)
Perkins County, Dakota a Deas	珀金斯縣 (南達科他州)
Marshall County, Dakota a Deas	馬歇爾縣 (南達科他州)
Shannon County, Dakota a Deas	香農縣 (南達科他州)
Buckingham County, Virginia	白金漢縣 (維吉尼亞州)
Lincoln County, Dakota a Deas	林肯縣 (南達科他州)
Union County, Dakota a Deas	猶尼昂縣 (南達科他州)
Moody County, Dakota a Deas	穆迪縣 (南達科他州)
Hamlin County, Dakota a Deas	哈姆林縣 (南達科他州)
Sanborn County, Dakota a Deas	桑博恩縣 (南達科他州)
Gregory County, Dakota a Deas	格雷戈里縣 (南達科他州)
Spink County, Dakota a Deas	斯平克縣 (南達科他州)
Lake County, Dakota a Deas	萊克縣 (南達科他州)
Lyman County, Dakota a Deas	萊曼縣 (南達科他州)
Pennington County, Dakota a Deas	彭寧頓縣 (南達科他州)
Mellette County, Dakota a Deas	梅萊特縣 (南達科他州)
Sully County, Dakota a Deas	薩利縣 (南達科他州)
Meade County, Dakota a Deas	米德縣 (南達科他州)
Roberts County, Dakota a Deas	羅伯茨縣 (南達科他州)
Turner County, Dakota a Deas	特納縣 (南達科他州)
Stanley County, Dakota a Deas	斯坦利縣 (南達科他州)
McCook County, Dakota a Deas	麥庫克縣 (南達科他州)
Kingsbury County, Dakota a Deas	金斯伯里縣 (南達科他州)
Loudoun County, Virginia	勞登縣 (維吉尼亞州)
Kenosha County, Wisconsin	基諾沙縣 (威斯康辛州)
Langlade County, Wisconsin	朗格拉德縣 (威斯康辛州)
Wood County, Wisconsin	伍德縣 (威斯康辛州)
Lake County, Oregon	萊克縣 (俄勒岡州)
Umatilla County, Oregon	尤馬蒂拉縣 (俄勒岡州)
Wheeler County, Oregon	惠勒縣 (俄勒岡州)
Tillamook County, Oregon	提拉木克縣
Redding, Calafòrnia	雷丁 (加利福尼亚州)
Rancho Cucamonga, Calafòrnia	庫卡蒙格牧場 (加利福尼亞州)
Morrow County, Oregon	莫羅縣 (俄勒岡州)
El Centro, Calafòrnia	埃尔森特罗 (加利福尼亚州)
